Year,Accession,PAR_1800,PAR_1100,PAR_500,PAR_300,PAR_150,PAR_50
2022,SSA_00001,27.9823,25.2549,17.2166,10.3454,4.07654,-1.22495
2022,SSA_00003,18.0401,16.8561,13.1564,9.505,4.01506,-1.16771
2022,SSA_00004,28.8573,27.1688,19.6012,12.5308,4.80345,-1.25668
2022,SSA_00005,20.5827,19.7066,15.6017,10.0967,3.56492,-0.986084
2022,SSA_00006,9.5765,8.94429,7.95867,6.90493,4.32219,0.746556
2022,SSA_00007,20.6259,18.7304,13.0628,8.40119,3.29824,-1.25372
2022,SSA_00008,41.4485,35.5581,23.2776,15.3141,6.42503,-0.140254
2022,SSA_00009,27.4111,25.8784,19.3966,13.1008,5.48945,-0.305395
2022,SSA_00010,27.5753,24.8285,17.5975,12.1107,5.5104,-0.575282
2022,SSA_00013,28.3345,24.9428,17.9669,11.3144,4.917,-0.0458935
2022,SSA_00018,29.1021,26.4064,18.3857,12.4214,5.85317,0.173292
2022,SSA_00024,23.232,22.0886,16.8548,12.4763,6.07322,0.0557705
2022,SSA_00033,25.4299,24.2226,18.3337,12.7968,5.70329,-0.684261
2022,SSA_00041,26.1193,24.108,18.1992,11.9089,5.27165,-0.429332
2022,SSA_00050,29.8877,26.7903,19.1852,13.0647,6.2872,0.484207
2022,SSA_00062,26.9912,24.3488,18.202,12.5871,6.18678,0.895781
2022,SSA_00067,31.0017,27.2345,19.2164,12.6864,6.40702,0.298448
2022,SSA_00068,29.6577,26.9121,19.0305,12.1142,5.77467,-0.188101
2022,SSA_00070,36.2022,32.1489,22.4769,15.1284,7.3385,0.243602
2022,SSA_00075,31.6736,28.5644,19.8442,13.4669,6.33895,0.0639267
2022,SSA_00079,34.4688,31.3136,22.2853,14.8655,6.78642,0.315294
2022,SSA_00080,30.8689,27.49,19.0113,12.5223,5.91932,1.06776
2022,SSA_00091,33.1709,29.1409,20.0134,12.7037,5.82339,-0.114764
2022,SSA_00096,34.1785,30.5363,20.4992,12.7926,5.3186,-0.252498
2022,SSA_00097,37.3177,31.8975,21.0807,13.919,5.844,-0.207425
2022,SSA_00105,19.6289,18.7328,15.352,12.0729,6.60145,0.789665
2022,SSA_00108,29.1674,25.5384,17.5053,12.8017,5.8087,-0.418385
2022,SSA_00110,29.4506,26.1027,18.8794,13.171,5.58461,-0.862505
2022,SSA_00113,16.3652,15.2458,12.245,9.25539,4.92926,0.352368
2022,SSA_00119,27.1152,24.8865,18.7658,12.8862,5.76702,-0.234293
2022,SSA_00121,11.0878,10.8931,10.0059,8.58561,5.9599,0.904783
2022,SSA_00123,23.6729,23.0239,18.2251,12.4544,5.42597,-0.835202
2022,SSA_00126,27.1578,25.2105,18.033,12.3541,5.74679,-0.303302
2022,SSA_00128,23.6203,22.1691,17.105,12.7615,6.78559,0.754387
2022,SSA_00135,32.2573,28.8066,20.3597,13.6662,6.4295,0.217478
2022,SSA_00138,32.7841,29.6532,20.6467,13.9685,6.3662,-0.0111581
2022,SSA_00139,29.6,27.4084,20.5685,14.6618,7.54171,0.759092
2022,SSA_00151,26.9884,25.2473,20.9129,14.3134,7.70923,1.57477
2022,SSA_00156,30.8757,28.0353,19.9905,14.1022,6.17517,-0.183523
2022,SSA_00160,22.837,21.4606,15.988,11.1965,4.99209,-0.376952
2022,SSA_00173,24.6324,23.1436,18.5009,13.8052,6.76542,0.423737
2022,SSA_00178,31.4051,28.0997,19.8968,13.277,6.06733,-0.0548856
2022,SSA_00179,26.2966,23.2919,17.7294,11.7267,5.81275,0.111821
2022,SSA_00186,26.2103,23.9819,18.7146,13.6148,6.66514,1.06595
2022,SSA_00187,26.2946,23.9907,16.5582,11.0368,5.03716,-0.508512
2022,SSA_00197,32.501,29.7485,22.5106,15.734,6.96286,0.325488
2022,SSA_00204,26.9943,24.5568,18.4471,12.9749,6.53778,1.06357
2022,SSA_00209,21.8607,20.4134,15.8042,11.7129,5.24487,-0.174617
2022,SSA_00216,18.9658,18.4839,16.0937,12.8639,6.4753,0.948472
2022,SSA_00222,24.5114,22.751,17.139,12.7994,6.2598,0.109412
2022,SSA_00227,29.9762,27.4365,19.9649,13.4489,6.13062,-0.292813
2022,SSA_00229,28.9794,25.347,17.9685,13.1121,6.34325,0.458843
2022,SSA_00235,31.2267,27.3414,19.912,13.5125,6.6219,0.0596468
2022,SSA_00238,23.9973,21.6831,16.7978,12.8666,6.57813,0.594807
2022,SSA_00239,30.545,28.177,19.8001,12.6036,5.45576,-0.597033
2022,SSA_00240,29.6864,26.7561,19.1293,12.8258,5.75236,-0.204008
2022,SSA_00241,12.7161,12.2065,10.5337,8.34381,4.51007,0.593688
2022,SSA_00254,23.4163,21.3424,16.6398,12.3122,5.82455,0.151564
2022,SSA_00262,26.7645,24.6076,18.7223,13.1129,6.49535,0.489522
2022,SSA_00271,26.9849,25.5244,20.0014,13.4302,6.68763,1.19856
2022,SSA_00275,24.8986,23.2613,18.3843,12.7244,5.19303,-1.41833
2022,SSA_00279,34.3904,30.0558,20.0382,13.6411,5.71321,0.140121
2022,SSA_00286,26.8467,24.819,18.2121,12.2592,5.6048,0.270986
2022,SSA_00299,25.696,23.3864,17.2499,12.0273,5.5942,0.707294
2022,SSA_00304,31.4951,28.8144,20.8588,13.3017,5.63987,-0.0546033
2022,SSA_00312,27.365,24.7032,18.4422,13.2854,7.67836,1.77886
2022,SSA_00359,30.5886,27.5997,19.6116,13.1478,5.83369,0.480882
2022,SSA_00367,38.1102,32.299,20.2003,12.5122,4.8608,-0.555808
2023,SSA_00001,25.7686,23.5333,17.7673,12.4847,6.54882,1.52102
2023,SSA_00003,18.588,16.9289,13.0133,9.38609,4.1959,0.076587
2023,SSA_00004,30.8271,27.5357,18.5218,11.5493,4.17285,-0.977362
2023,SSA_00005,32.1836,28.9152,20.2967,13.7848,6.74053,0.732112
2023,SSA_00006,8.58304,7.87709,7.19039,6.45259,3.96147,0.0797822
2023,SSA_00007,16.1082,14.9282,11.1132,7.48055,3.48344,-0.33878
2023,SSA_00008,23.8192,22.4654,17.9254,12.1119,6.08819,-0.181499
2023,SSA_00009,26.7015,23.9494,16.9196,11.0578,5.15037,-0.107008
2023,SSA_00010,25.3389,23.099,17.2022,11.9314,5.651,-0.158141
2023,SSA_00013,27.3637,25.09,18.7678,13.2115,6.68757,0.762008
2023,SSA_00018,25.4024,22.8367,17.0243,11.8831,5.23677,-0.33659
2023,SSA_00024,18.4763,18.0661,15.7839,12.2087,5.75226,0.0400627
2023,SSA_00033,28.8312,26.0045,18.5965,11.9946,4.94529,-0.97118
2023,SSA_00041,31.4457,28.1824,19.1776,12.4251,4.7361,-1.4631
2023,SSA_00050,21.0835,19.7338,14.9351,11.2778,5.91629,0.206769
2023,SSA_00062,26.6933,24.2428,16.6994,10.8621,4.50413,-0.632294
2023,SSA_00067,24.6656,22.223,17.3557,12.176,5.82176,0.713146
2023,SSA_00068,25.68,23.1251,16.707,11.7505,5.62108,0.467492
2023,SSA_00070,32.6615,28.9046,19.6835,12.8967,5.41874,-0.799518
2023,SSA_00075,24.9343,22.5836,17.2923,12.4277,6.85694,1.13824
2023,SSA_00079,28.517,26.94,19.8609,13.4528,6.19936,0.204403
2023,SSA_00080,24.0254,22.1197,17.1895,13.1586,7.43889,1.86497
2023,SSA_00091,25.6922,23.5625,17.7337,12.0234,5.70992,0.496702
2023,SSA_00096,32.2492,28.8547,20.9977,13.9654,6.16894,0.228815
2023,SSA_00097,25.1626,22.1576,16.5518,12.5083,6.26155,0.966518
2023,SSA_00105,25.6426,23.6291,17.1167,11.393,4.66668,-0.936299
2023,SSA_00108,21.1894,19.4713,14.3316,9.80731,5.0467,0.191548
2023,SSA_00110,31.6208,28.4696,20.5281,13.9205,7.39445,1.92294
2023,SSA_00113,19.1154,17.459,13.9245,10.1739,5.30147,0.561937
2023,SSA_00119,29.5163,26.7685,20.5452,14.3734,6.78128,0.913362
2023,SSA_00121,12.2711,12.0142,10.4982,8.41566,5.16237,0.900236
2023,SSA_00123,25.0747,22.65,16.3674,11.7322,5.62567,0.443932
2023,SSA_00126,17.0555,16.243,14.7072,12.2937,8.46747,3.97314
2023,SSA_00128,15.5015,15.2129,13.5025,10.4598,6.52443,-0.412112
2023,SSA_00135,25.0867,22.6038,16.7437,10.7292,4.55906,-0.441165
2023,SSA_00138,11.9229,11.3809,9.21159,7.29575,4.11253,0.44079
2023,SSA_00139,36.2043,31.8568,21.5883,14.6148,6.39356,0.396997
2023,SSA_00151,24.5535,22.7916,17.5206,13.0281,6.59387,0.485534
2023,SSA_00156,20.4972,19.6481,15.2915,11.2879,6.14286,0.604076
2023,SSA_00160,11.6162,10.9049,9.32732,7.36264,4.55785,0.905432
2023,SSA_00173,18.4024,16.8503,14.7141,10.6895,6.62586,0.668421
2023,SSA_00178,20.127,18.9613,14.1794,10.3177,5.88903,1.36764
2023,SSA_00179,20.84,19.6964,15.8811,12.0873,6.78617,1.96118
2023,SSA_00186,25.7082,24.1845,18.9406,14.0235,6.96253,0.513384
2023,SSA_00187,23.621,21.7131,16.9311,12.1025,6.36906,1.31861
2023,SSA_00197,23.9109,21.9433,16.5207,11.898,5.8344,0.620977
2023,SSA_00204,28.5188,25.5507,17.6465,11.8147,5.22282,-0.965003
2023,SSA_00209,19.7901,18.404,14.4079,10.037,4.78008,-0.585906
2023,SSA_00216,25.156,23.4093,18.1303,13.1147,6.27576,0.288871
2023,SSA_00222,29.3208,26.4793,18.293,12.0702,5.28033,-0.688121
2023,SSA_00227,21.0679,19.569,15.0311,11.3857,7.06556,1.86827
2023,SSA_00229,27.3769,24.4572,17.1581,11.932,5.33443,-0.181587
2023,SSA_00235,30.4291,26.8775,19.3272,13.1205,6.30147,0.549257
2023,SSA_00238,21.7676,20.0486,15.6696,11.7968,5.85452,0.634533
2023,SSA_00239,34.8915,31.3611,21.6354,14.2556,5.97721,-0.449928
2023,SSA_00240,37.2011,33.6776,23.5768,15.2803,6.71542,-0.385284
2023,SSA_00241,13.0518,12.3558,10.5534,8.826,4.32003,-0.0828941
2023,SSA_00254,23.5608,22.3867,17.4512,13.0831,6.12482,-0.634105
2023,SSA_00262,27.7546,25.3163,18.5292,12.1876,5.52387,-0.376725
2023,SSA_00271,23.03,21.5104,16.9175,12.062,6.58571,1.39391
2023,SSA_00275,29.0907,26.5159,20.5859,14.8497,7.33829,0.323615
2023,SSA_00279,28.9387,25.8236,19.1576,12.9587,6.1276,-0.511972
2023,SSA_00286,26.6736,24.5099,18.9735,13.7713,6.71005,-0.0741306
2023,SSA_00299,31.5634,28.4708,20.6224,14.1161,6.86861,0.367567
2023,SSA_00304,27.2584,25.3117,19.9109,14.2059,7.34327,0.708446
2023,SSA_00312,30.9703,27.2003,19.3494,13.5948,6.738,0.407629
2023,SSA_00359,23.2666,21.5378,16.0081,11.2989,5.57376,0.407234
2023,SSA_00367,16.2318,15.3946,12.5772,10.0158,5.45814,0.468235
